SITE,TRANSECT,TRANSECT_ID,lat,lon,SIDE,SP_CODE,PERCENT_COVER,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,COMMON.NAME,SPECIES
Baker South,3,BS_3,42.53216478,-70.78412228,I,MAST,2.5,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker South,3,BS_3,42.53216478,-70.78412228,I,P,16.25,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,I,PAPA,3.75,Algae,Rhodophyta,Erect Red Algae,Dulse,Palmaria palmata
Baker South,3,BS_3,42.53216478,-70.78412228,I,PHRU,1.25,Algae,Rhodophyta,Erect Red Algae,sea oak,Phycodrys rubens
Baker South,3,BS_3,42.53216478,-70.78412228,I,PHSP,1.25,Algae,Rhodophyta,Red Algal Crusts,rock branch algae,Phymatolithon 
Baker South,3,BS_3,42.53216478,-70.78412228,I,PORS,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Porphyra 
Baker South,3,BS_3,42.53216478,-70.78412228,I,RAT,2.5,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker South,3,BS_3,42.53216478,-70.78412228,I,SH,2.5,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,I,SL,17.5,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker South,3,BS_3,42.53216478,-70.78412228,I,SLJ,12.5,Algae,Phaeophyta,Brown Algae,NA,Saccharina latissima
Baker South,3,BS_3,42.53216478,-70.78412228,I,TRIN,1.25,Invertebrate,Bryozoans,Bryozoans,NA,Tricellaria inopinata
Baker South,3,BS_3,42.53216478,-70.78412228,I,UV,2.5,Algae,Chlorophyta,Green Algae,Sea lettuce,Blady Ulvoid
Baker South,3,BS_3,42.53216478,-70.78412228,O, S ,5,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,O,ATM,1.25,Invertebrate,Arthropods,Crustaceans,NA,Amphipod tube mat
Baker South,3,BS_3,42.53216478,-70.78412228,O,BM,5,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,O,BOVI,1.25,Invertebrate,Chordates,Tunicates,orange sheath tunicate,Botrylloides violaceus
Baker South,3,BS_3,42.53216478,-70.78412228,O,BS,13.75,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,O,C,12.5,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,O,CF,5,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker South,3,BS_3,42.53216478,-70.78412228,O,CHCR,3.75,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker South,3,BS_3,42.53216478,-70.78412228,O,CRSP,2.5,Algae,Rhodophyta,Erect Red Algae,Banded weed,Ceramium 
Baker South,3,BS_3,42.53216478,-70.78412228,O,CYPU,6.25,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker South,3,BS_3,42.53216478,-70.78412228,O,DEAC,7.5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Baker South,3,BS_3,42.53216478,-70.78412228,O,DEVI,7.5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker South,3,BS_3,42.53216478,-70.78412228,O,DIAT,2.5,Algae,Phaeophyta,Brown Algae,NA,Diatom Tube Mat
Baker South,3,BS_3,42.53216478,-70.78412228,O,EC,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker South,3,BS_3,42.53216478,-70.78412228,O,HIRU,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Hildenbrandia rubra
Baker South,3,BS_3,42.53216478,-70.78412228,O,HJ,16.25,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker South,3,BS_3,42.53216478,-70.78412228,O,MAST,3.75,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker South,3,BS_3,42.53216478,-70.78412228,O,P,12.5,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,O,PAPA,1.25,Algae,Rhodophyta,Erect Red Algae,Dulse,Palmaria palmata
Baker South,3,BS_3,42.53216478,-70.78412228,O,PORS,2.5,Algae,Rhodophyta,Erect Red Algae,NA,Porphyra 
Baker South,3,BS_3,42.53216478,-70.78412228,O,RAT,3.75,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker South,3,BS_3,42.53216478,-70.78412228,O,SH,1.25,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,O,SL,18.75,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker South,3,BS_3,42.53216478,-70.78412228,O,SLJ,10,Algae,Phaeophyta,Brown Algae,NA,Saccharina latissima
Baker South,3,BS_3,42.53216478,-70.78412228,O,TRIN,1.25,Invertebrate,Bryozoans,Bryozoans,NA,Tricellaria inopinata
Baker South,3,BS_3,42.53216478,-70.78412228,O,UV,1.25,Algae,Chlorophyta,Green Algae,Sea lettuce,Blady Ulvoid
Baker South,4,BS_4,42.53089911,-70.78504798,I, S ,1.25,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,I,AHPL,2.5,Algae,Rhodophyta,Erect Red Algae,Landlady's wig,Ahnfeltia plicata
Baker South,4,BS_4,42.53089911,-70.78504798,I,ATM,1.25,Invertebrate,Arthropods,Crustaceans,NA,Amphipod tube mat
Baker South,4,BS_4,42.53089911,-70.78504798,I,BM,3.75,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,I,BOHA,3.75,Algae,Rhodophyta,Erect Red Algae,hooked weed,Bonnemasonia hamifera
Baker South,4,BS_4,42.53089911,-70.78504798,I,BOVI,1.25,Invertebrate,Chordates,Tunicates,orange sheath tunicate,Botrylloides violaceus
Baker South,4,BS_4,42.53089911,-70.78504798,I,BS,18.75,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,I,C,20,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,I,CF,1.25,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker South,4,BS_4,42.53089911,-70.78504798,I,CHCR,1.25,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker South,4,BS_4,42.53089911,-70.78504798,I,CO,5,Algae,Rhodophyta,Erect Red Algae,coral weed,Corralina officinalis
Baker South,4,BS_4,42.53089911,-70.78504798,I,CYPU,3.75,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker South,4,BS_4,42.53089911,-70.78504798,I,DEAC,5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Baker South,4,BS_4,42.53089911,-70.78504798,I,DEVI,5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker South,4,BS_4,42.53089911,-70.78504798,I,EC,5,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker South,4,BS_4,42.53089911,-70.78504798,I,HAPA,1.25,Invertebrate,Proifera,Sponges,Breadcrumb Sponge,Halichondria panicea
Baker South,4,BS_4,42.53089911,-70.78504798,I,HJ,8.75,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker South,4,BS_4,42.53089911,-70.78504798,I,LIGL,3.75,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
Baker South,4,BS_4,42.53089911,-70.78504798,I,MAST,8.75,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker South,4,BS_4,42.53089911,-70.78504798,I,P,6.25,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,I,PAPA,3.75,Algae,Rhodophyta,Erect Red Algae,Dulse,Palmaria palmata
Baker South,4,BS_4,42.53089911,-70.78504798,I,POLS,3.75,Algae,Rhodophyta,Erect Red Algae,lobster horns,Polysiphonia 
Baker South,4,BS_4,42.53089911,-70.78504798,I,PORS,2.5,Algae,Rhodophyta,Erect Red Algae,NA,Porphyra 
Baker South,4,BS_4,42.53089911,-70.78504798,I,RAT,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker South,4,BS_4,42.53089911,-70.78504798,I,SL,18.75,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker South,4,BS_4,42.53089911,-70.78504798,I,SLJ,5,Algae,Phaeophyta,Brown Algae,NA,Saccharina latissima
Baker South,4,BS_4,42.53089911,-70.78504798,I,UEC,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Unidentified Erect Coralline
Baker South,4,BS_4,42.53089911,-70.78504798,O, S ,2.5,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,O,ATM,1.25,Invertebrate,Arthropods,Crustaceans,NA,Amphipod tube mat
Baker South,4,BS_4,42.53089911,-70.78504798,O,BM,2.5,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,O,BS,13.75,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,O,C,18.75,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,O,CF,2.5,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker South,4,BS_4,42.53089911,-70.78504798,O,CHCR,3.75,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker South,4,BS_4,42.53089911,-70.78504798,O,CO,5,Algae,Rhodophyta,Erect Red Algae,coral weed,Corralina officinalis
Baker South,4,BS_4,42.53089911,-70.78504798,O,CYPU,7.5,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker South,4,BS_4,42.53089911,-70.78504798,O,DEAC,6.25,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Baker South,4,BS_4,42.53089911,-70.78504798,O,DEVI,3.75,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker South,4,BS_4,42.53089911,-70.78504798,O,DIVE,1.25,Invertebrate,Chordates,Tunicates,tunicate,Didemnum vexillum
Baker South,4,BS_4,42.53089911,-70.78504798,O,EC,6.25,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker South,4,BS_4,42.53089911,-70.78504798,O,HJ,10,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker South,4,BS_4,42.53089911,-70.78504798,O,LIGL,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
Baker South,4,BS_4,42.53089911,-70.78504798,O,MAST,8.75,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker South,4,BS_4,42.53089911,-70.78504798,O,P,5,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,O,PAPA,2.5,Algae,Rhodophyta,Erect Red Algae,Dulse,Palmaria palmata
Baker South,4,BS_4,42.53089911,-70.78504798,O,POLS,1.25,Algae,Rhodophyta,Erect Red Algae,lobster horns,Polysiphonia 
Baker South,4,BS_4,42.53089911,-70.78504798,O,RAT,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker South,4,BS_4,42.53089911,-70.78504798,O,SH,5,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,O,SL,13.75,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker South,4,BS_4,42.53089911,-70.78504798,O,SLJ,6.25,Algae,Phaeophyta,Brown Algae,NA,Saccharina latissima
Baker South,4,BS_4,42.53089911,-70.78504798,O,SPRE,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Spermothamnion repens
Baker South,4,BS_4,42.53089911,-70.78504798,O,SS,2.5,Substrate,NA,NA,NA,NA
Baker South,4,BS_4,42.53089911,-70.78504798,O,TRIN,1.25,Invertebrate,Bryozoans,Bryozoans,NA,Tricellaria inopinata
Baker South,4,BS_4,42.53089911,-70.78504798,O,UV,1.25,Algae,Chlorophyta,Green Algae,Sea lettuce,Blady Ulvoid
Baker South,1,BS_1,42.53232,-70.78291,I,ATM,3.75,Invertebrate,Arthropods,Crustaceans,NA,Amphipod tube mat
Baker South,1,BS_1,42.53232,-70.78291,I,B,23.75,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,I,BA,2.5,Invertebrate,Arthropods,Crustaceans,NA,Barnacle 
Baker South,1,BS_1,42.53232,-70.78291,I,BL,10,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,I,BLD,2.5,Algae,Phaeophyta,Brown Algae,NA,UNID Juv Laminariales
Baker South,1,BS_1,42.53232,-70.78291,I,BM,8.75,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,I,BOHA,1.25,Algae,Rhodophyta,Erect Red Algae,hooked weed,Bonnemasonia hamifera
Baker South,1,BS_1,42.53232,-70.78291,I,BOVI,2.5,Invertebrate,Chordates,Tunicates,orange sheath tunicate,Botrylloides violaceus
Baker South,1,BS_1,42.53232,-70.78291,I,BS,1.25,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,I,C,3.75,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,I,CHCR,2.5,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker South,1,BS_1,42.53232,-70.78291,I,CO,8.75,Algae,Rhodophyta,Erect Red Algae,coral weed,Corralina officinalis
Baker South,1,BS_1,42.53232,-70.78291,I,CYPU,3.75,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker South,1,BS_1,42.53232,-70.78291,I,DEVI,7.5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker South,1,BS_1,42.53232,-70.78291,I,EC,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker South,1,BS_1,42.53232,-70.78291,I,HJ,16.25,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker South,1,BS_1,42.53232,-70.78291,I,LIGL,5,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
Baker South,1,BS_1,42.53232,-70.78291,I,MAST,12.5,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker South,1,BS_1,42.53232,-70.78291,I,P,1.25,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,I,PORS,5,Algae,Rhodophyta,Erect Red Algae,NA,Porphyra 
Baker South,1,BS_1,42.53232,-70.78291,I,SH,1.25,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,I,SL,20,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker South,1,BS_1,42.53232,-70.78291,I,SLJ,3.75,Algae,Phaeophyta,Brown Algae,NA,Saccharina latissima
Baker South,1,BS_1,42.53232,-70.78291,I,UFR,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Unidentified Filamentous Red
Baker South,1,BS_1,42.53232,-70.78291,O, S ,1.25,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,O,ATM,6.25,Invertebrate,Arthropods,Crustaceans,NA,Amphipod tube mat
Baker South,1,BS_1,42.53232,-70.78291,O,B,25,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,O,BL,11.25,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,O,BM,2.5,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,O,BOVI,2.5,Invertebrate,Chordates,Tunicates,orange sheath tunicate,Botrylloides violaceus
Baker South,1,BS_1,42.53232,-70.78291,O,BS,7.5,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,O,CF,1.25,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker South,1,BS_1,42.53232,-70.78291,O,CHCR,7.5,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker South,1,BS_1,42.53232,-70.78291,O,CO,2.5,Algae,Rhodophyta,Erect Red Algae,coral weed,Corralina officinalis
Baker South,1,BS_1,42.53232,-70.78291,O,CYPU,7.5,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker South,1,BS_1,42.53232,-70.78291,O,DEVI,11.25,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker South,1,BS_1,42.53232,-70.78291,O,DIVE,1.25,Invertebrate,Chordates,Tunicates,tunicate,Didemnum vexillum
Baker South,1,BS_1,42.53232,-70.78291,O,EC,2.5,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker South,1,BS_1,42.53232,-70.78291,O,HJ,11.25,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker South,1,BS_1,42.53232,-70.78291,O,LIGL,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
Baker South,1,BS_1,42.53232,-70.78291,O,MAST,16.25,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker South,1,BS_1,42.53232,-70.78291,O,P,2.5,Substrate,NA,NA,NA,NA
Baker South,1,BS_1,42.53232,-70.78291,O,POLS,1.25,Algae,Rhodophyta,Erect Red Algae,lobster horns,Polysiphonia 
Baker South,1,BS_1,42.53232,-70.78291,O,PORS,3.75,Algae,Rhodophyta,Erect Red Algae,NA,Porphyra 
Baker South,1,BS_1,42.53232,-70.78291,O,SL,15,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker South,1,BS_1,42.53232,-70.78291,O,SLJ,11.25,Algae,Phaeophyta,Brown Algae,NA,Saccharina latissima
Baker South,1,BS_1,42.53232,-70.78291,O,TRIN,1.25,Invertebrate,Bryozoans,Bryozoans,NA,Tricellaria inopinata
Baker South,2,BS_2,42.53114,-70.783875,I, S ,8.75,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,I,AHPL,1.25,Algae,Rhodophyta,Erect Red Algae,Landlady's wig,Ahnfeltia plicata
Baker South,2,BS_2,42.53114,-70.783875,I,ATM,1.25,Invertebrate,Arthropods,Crustaceans,NA,Amphipod tube mat
Baker South,2,BS_2,42.53114,-70.783875,I,BM,5,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,I,BS,13.75,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,I,C,10,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,I,CHCR,5,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker South,2,BS_2,42.53114,-70.783875,I,CRSP,2.5,Algae,Rhodophyta,Erect Red Algae,Banded weed,Ceramium 
Baker South,2,BS_2,42.53114,-70.783875,I,CYPU,5,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker South,2,BS_2,42.53114,-70.783875,I,DEAC,5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Baker South,2,BS_2,42.53114,-70.783875,I,DEVI,3.75,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker South,2,BS_2,42.53114,-70.783875,I,EC,3.75,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker South,2,BS_2,42.53114,-70.783875,I,HIRU,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Hildenbrandia rubra
Baker South,2,BS_2,42.53114,-70.783875,I,HJ,8.75,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker South,2,BS_2,42.53114,-70.783875,I,LIGL,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
Baker South,2,BS_2,42.53114,-70.783875,I,MAST,3.75,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker South,2,BS_2,42.53114,-70.783875,I,MYED,1.25,Invertebrate,Molluscs,Bivalves,Blue Mussel,Mytilus edulis
Baker South,2,BS_2,42.53114,-70.783875,I,P,7.5,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,I,PAPA,8.75,Algae,Rhodophyta,Erect Red Algae,Dulse,Palmaria palmata
Baker South,2,BS_2,42.53114,-70.783875,I,PORS,3.75,Algae,Rhodophyta,Erect Red Algae,NA,Porphyra 
Baker South,2,BS_2,42.53114,-70.783875,I,RAT,5,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker South,2,BS_2,42.53114,-70.783875,I,SH,2.5,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,I,SL,20,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker South,2,BS_2,42.53114,-70.783875,I,SLJ,1.25,Algae,Phaeophyta,Brown Algae,NA,Saccharina latissima
Baker South,2,BS_2,42.53114,-70.783875,I,TRIN,1.25,Invertebrate,Bryozoans,Bryozoans,NA,Tricellaria inopinata
Baker South,2,BS_2,42.53114,-70.783875,I,UFR,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Unidentified Filamentous Red
Baker South,2,BS_2,42.53114,-70.783875,I,URB,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Unidentified Red Blade
Baker South,2,BS_2,42.53114,-70.783875,O, S ,7.5,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,O,BM,3.75,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,O,BOHA,1.25,Algae,Rhodophyta,Erect Red Algae,hooked weed,Bonnemasonia hamifera
Baker South,2,BS_2,42.53114,-70.783875,O,BS,21.25,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,O,C,10,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,O,CF,1.25,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker South,2,BS_2,42.53114,-70.783875,O,CHCR,12.5,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker South,2,BS_2,42.53114,-70.783875,O,CRSP,3.75,Algae,Rhodophyta,Erect Red Algae,Banded weed,Ceramium 
Baker South,2,BS_2,42.53114,-70.783875,O,CYPU,7.5,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker South,2,BS_2,42.53114,-70.783875,O,DEAC,6.25,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Baker South,2,BS_2,42.53114,-70.783875,O,DEVI,7.5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker South,2,BS_2,42.53114,-70.783875,O,EC,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker South,2,BS_2,42.53114,-70.783875,O,HIRU,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Hildenbrandia rubra
Baker South,2,BS_2,42.53114,-70.783875,O,HJ,8.75,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker South,2,BS_2,42.53114,-70.783875,O,LIGL,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
Baker South,2,BS_2,42.53114,-70.783875,O,MAST,5,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker South,2,BS_2,42.53114,-70.783875,O,MYED,1.25,Invertebrate,Molluscs,Bivalves,Blue Mussel,Mytilus edulis
Baker South,2,BS_2,42.53114,-70.783875,O,P,5,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,O,PAPA,1.25,Algae,Rhodophyta,Erect Red Algae,Dulse,Palmaria palmata
Baker South,2,BS_2,42.53114,-70.783875,O,PHRU,1.25,Algae,Rhodophyta,Erect Red Algae,sea oak,Phycodrys rubens
Baker South,2,BS_2,42.53114,-70.783875,O,POLS,1.25,Algae,Rhodophyta,Erect Red Algae,lobster horns,Polysiphonia 
Baker South,2,BS_2,42.53114,-70.783875,O,PORS,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Porphyra 
Baker South,2,BS_2,42.53114,-70.783875,O,RAT,3.75,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker South,2,BS_2,42.53114,-70.783875,O,SH,1.25,Substrate,NA,NA,NA,NA
Baker South,2,BS_2,42.53114,-70.783875,O,SL,21.25,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker South,2,BS_2,42.53114,-70.783875,O,SLJ,1.25,Algae,Phaeophyta,Brown Algae,NA,Saccharina latissima
Baker South,2,BS_2,42.53114,-70.783875,O,TRIN,2.5,Invertebrate,Bryozoans,Bryozoans,NA,Tricellaria inopinata
Calf Island,1,CI_1,42.34529,-70.89306,I,ATM,1.25,Invertebrate,Arthropods,Crustaceans,NA,Amphipod tube mat
Calf Island,1,CI_1,42.34529,-70.89306,I,B,7.5,Substrate,NA,NA,NA,NA
Calf Island,1,CI_1,42.34529,-70.89306,I,BA,1.25,Invertebrate,Arthropods,Crustaceans,NA,Barnacle 
Calf Island,1,CI_1,42.34529,-70.89306,I,BL,18.75,Substrate,NA,NA,NA,NA
Calf Island,1,CI_1,42.34529,-70.89306,I,BLD,2.5,Algae,Phaeophyta,Brown Algae,NA,UNID Juv Laminariales
Calf Island,1,CI_1,42.34529,-70.89306,I,BM,13.75,Substrate,NA,NA,NA,NA
Calf Island,1,CI_1,42.34529,-70.89306,I,BS,2.5,Substrate,NA,NA,NA,NA
Calf Island,1,CI_1,42.34529,-70.89306,I,C,6.25,Substrate,NA,NA,NA,NA
Calf Island,1,CI_1,42.34529,-70.89306,I,CF,3.75,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Calf Island,1,CI_1,42.34529,-70.89306,I,CHCR,7.5,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Calf Island,1,CI_1,42.34529,-70.89306,I,CRSP,11.25,Algae,Rhodophyta,Erect Red Algae,Banded weed,Ceramium 
Calf Island,1,CI_1,42.34529,-70.89306,I,CYPU,8.75,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Calf Island,1,CI_1,42.34529,-70.89306,I,DEAC,3.75,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Calf Island,1,CI_1,42.34529,-70.89306,I,DEVI,6.25,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Calf Island,1,CI_1,42.34529,-70.89306,I,DIAT,1.25,Algae,Phaeophyta,Brown Algae,NA,Diatom Tube Mat
Calf Island,1,CI_1,42.34529,-70.89306,I,DIVE,8.75,Invertebrate,Chordates,Tunicates,tunicate,Didemnum vexillum
Calf Island,1,CI_1,42.34529,-70.89306,I,EUCR,5,Algae,Rhodophyta,Erect Red Algae,delicate northern sea fan,Euthora cristata
Calf Island,1,CI_1,42.34529,-70.89306,I,HIRU,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Hildenbrandia rubra
Calf Island,1,CI_1,42.34529,-70.89306,I,HJ,5,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Calf Island,1,CI_1,42.34529,-70.89306,I,LADI,3.75,Algae,Phaeophyta,Brown Algae,Fingered Kelp,Laminaria digitata
